,Datetime,Class A,Class B
0,1616272200,5199,241
1,1616362200,5837,227
2,1616445000,6460,452
3,1616531400,6993,599
4,1616617800,5509,664
5,1616704200,7515,682
6,1616790600,6666,943
7,1616877000,6763,1089
8,1616963400,7251,1155
9,1617049800,7025,1086
10,1617136200,6751,1223
11,1617222600,6399,1080
12,1617309000,12004,490
13,1617395400,7326,787
14,1617481800,6539,1372
15,1617568200,6133,1600
16,1617654600,6040,1758
17,1617741000,6140,1766
18,1617827400,6493,1778
19,1617913800,7732,1539
20,1618000200,6277,1701
21,1618086600,5858,1644
22,1618173000,6097,1738
23,1618259400,6177,1716
24,1618345800,5506,1842
25,1618432200,5654,1842
26,1618518600,6493,1521
27,1618605000,5973,1623
28,1618691400,5453,1626
29,1618777800,5447,1719
30,1618864200,5587,1793
31,1618950600,5694,1676
32,1619037000,5834,1776
33,1619123400,7116,1477
34,1619209800,6287,1651
35,1619296200,5615,1733
36,1619382600,5775,1790
37,1619469000,5818,1633
38,1619555400,5918,1892
39,1619641800,6082,1785
40,1619728200,7487,1361
41,1619814600,6313,1546
42,1619901000,5641,1617
43,1619987400,5689,1682
44,1620073800,4788,1372
45,1620160200,5987,1680
46,1620246600,6005,1638
47,1620333000,7276,1621
48,1620419400,4241,998
49,1625862600,2894,685
50,1625949000,6288,1683
51,1626035400,6266,1855
52,1626121800,6459,1901
53,1626208200,6369,1815
54,1626294600,6202,1587
55,1626381000,8379,1335
56,1626467400,6965,1454
57,1626553800,6197,1676
58,1626640200,6369,1647
59,1626726600,6734,1752
60,1626813000,4953,1394
61,1626899400,6110,1349
62,1626985800,9870,1188
63,1627072200,7008,1432
64,1627158600,6134,1504
65,1627245000,5698,1436
66,1627331400,5664,1444
67,1627417800,6811,1624
68,1627504200,5619,1353
69,1627590600,10217,1137
70,1627677000,7052,1456
71,1627763400,6291,1596
72,1627849800,6290,1759
73,1627936200,6443,1644
74,1628022600,6436,1767
75,1628109000,6350,1609
76,1628195400,8159,1344
77,1628281800,6067,1495
78,1628368200,5402,1558
79,1628454600,5574,1533
80,1628541000,4857,1326
81,1628627400,5573,1606
82,1628713800,5738,1402
83,1628800200,7813,1291
84,1628886600,5130,1213
85,1628973000,6291,1624
86,1629059400,4720,1648
87,1629145800,4366,1529
88,1629232200,2915,972
89,1629318600,4540,502
90,1629405000,9210,608
91,1629491400,6427,1286
92,1629577800,5652,1523
93,1629664200,5538,1729
94,1629750600,5703,1606
95,1629837000,5810,1642
96,1629923400,5957,1696
97,1630009800,7601,1331
98,1630096200,6877,1551
99,1630182600,6368,1585
100,1630269000,6312,1787
101,1630355400,6241,1787
102,1630441800,6537,1713
103,1630528200,6476,1666
104,1630614600,9403,1350
105,1630701000,7036,1608
106,1630787400,6523,1595
107,1630873800,6544,1716
108,1630960200,6391,1739
109,1631046600,6630,1806
110,1631133000,6802,1712
111,1631219400,9404,1552
112,1631305800,7102,1567
113,1631392200,6187,1695
114,1631478600,6612,1775
115,1631565000,6409,1761
116,1631651400,6558,1861
117,1631737800,6892,1874
118,1631824200,9808,1461
119,1631910600,7258,1640
120,1631997000,6610,1738
121,1632083400,6523,1769
122,1632169800,6676,1951
123,1632256200,6684,1745
124,1632342600,6923,1704
125,1632429000,9355,1339
126,1632515400,6529,1569
127,1632601800,6512,1613
128,1632688200,8015,1359
129,1632774600,6506,1539
130,1632861000,6617,1806
131,1632947400,6901,1705
132,1633033800,8345,1412
133,1633120200,6640,1558
134,1633206600,6547,1652
135,1633293000,7215,1727
136,1633379400,7779,1422
137,1633465800,6694,1494
138,1633552200,6695,1460
139,1633638600,14125,1306
140,1633725000,7907,1718
141,1633811400,6879,1671
142,1633897800,6627,1911
143,1633984200,6508,1857
144,1634070600,6924,1901
145,1634157000,7112,1696
146,1634243400,9348,1425
147,1634329800,6845,1634
148,1634416200,6382,1684
149,1634502600,6578,1883
150,1634589000,6545,1957
151,1634675400,6952,1945
152,1634761800,7846,1737
153,1634848200,9032,1442
154,1634934600,7033,1561
155,1635021000,9019,1384
156,1635107400,6992,1805
157,1635193800,6584,1691
158,1635280200,6779,1728
159,1635366600,7252,1683
160,1635453000,9331,1279
161,1635539400,6743,1603
162,1635625800,190,124
163,1637844600,2452,235
164,1637872200,5628,427
165,1637958600,6167,636
166,1638045000,6773,717
167,1638131400,6867,750
168,1638217800,6476,1002
169,1638304200,7127,1427
170,1638390600,7829,1402
171,1638477000,9543,1027
172,1638564900,6926,1335
173,1638649800,6903,1465
174,1638736200,6766,1430
175,1638822600,6930,1588
176,1638909000,7077,1611
177,1638995400,7581,1489
178,1639081800,9208,1089
179,1639168200,7078,1377
180,1639254600,5879,1265
181,1639341000,7149,1214
182,1639427400,7010,1604
183,1639513800,7124,923
184,1639600200,7392,1479
185,1639686600,9466,1283
186,1639773000,7007,1364
187,1639859400,6540,1493
188,1639945800,6824,1599
189,1640032200,6944,1265
190,1640118600,6851,1207
191,1640205000,7321,1316
192,1640291400,9564,1168
193,1640377800,7119,1456
194,1640464200,6774,1433
195,1640550600,6520,1408
196,1640637000,7048,1418
197,1640723400,7083,1694
198,1640809800,7401,1527
199,1640896200,8614,1235
200,1640982600,6688,336
201,1641069000,5200,56
202,1641155400,6201,1214
203,1641241800,2572,583
204,1641718500,4244,991
205,1641760200,7674,1835
206,1641846600,7248,1681
207,1641933000,7751,1778
208,1642019400,8019,1843
209,1642105800,9349,1500
210,1642192200,7454,1711
211,1642278600,7443,1665
212,1642365000,7168,1606
213,1642451400,7103,1784
214,1642537800,7305,1619
215,1642624200,7704,1592
216,1642710600,8978,1332
217,1642797000,6976,1408
218,1642883400,7425,1482
219,1642969800,7124,1529
220,1643056200,7385,1514
221,1643142600,8032,1516
222,1643229000,7555,1460
223,1643315400,9817,1357
224,1643401800,7706,1651
225,1643488200,8435,519
226,1643574600,8151,931
227,1643661000,7334,1604
228,1643747400,7472,1576
229,1643833800,7789,1649
230,1643920200,8677,1252
231,1644006600,7241,1494
232,1644093000,7269,1574
233,1644179400,7447,1611
234,1644265800,7341,1719
235,1644352200,4933,1134
236,1644661800,3229,951
237,1644697800,7785,1615
238,1644784200,8966,1612
239,1644870600,8472,1249
240,1644957000,7589,1429
241,1645043400,9955,1569
242,1645129800,7800,1190
243,1645216200,7999,1543
244,1645302600,7907,1464
245,1645389000,7572,1354
246,1645475400,8685,1585
247,1645561800,9727,1260
248,1645648200,11473,991
249,1645734600,8271,1001
250,1645821000,8216,1422
251,1645907400,6871,1304
252,1645993800,9144,1477
253,1646080200,8130,1319
254,1646166600,9471,1297
255,1646253000,12027,1293
256,1646339400,7755,976
257,1646425800,8577,1393
258,1646512200,8916,1074
259,1646598600,9103,561
260,1646685000,8656,1360
261,1646771400,9256,1385
262,1646857800,10759,1163
263,1646944200,6966,1133
264,1647030600,7265,1155
265,1647117000,8584,1613
266,1647203400,8528,1500
267,1647289800,10103,1683
268,1647376200,10730,1302
269,1647462600,11928,1153
270,1647549000,10304,604
271,1647635400,10256,462
272,1647721800,8518,218
273,1647808200,12201,222
274,1647898500,11431,303
275,1647981000,10725,320
276,1648067400,11701,304
277,1648153800,10343,402
278,1648240200,9690,666
279,1648326600,9998,803
280,1648413000,9499,839
281,1648499400,9549,717
282,1648585800,9997,512
283,1648672200,12656,483
284,1648758600,10729,210
285,1648845000,7932,153
286,1648931400,8205,425
287,1649017800,7785,1003
288,1649104200,7901,1114
289,1649190600,7975,1000
290,1649277000,9037,1180
291,1649363400,6127,904
292,1649449800,7399,1223
293,1649536200,7030,1240
294,1649622600,7128,1341
295,1649709000,7029,1442
296,1649795400,7739,1328
297,1649881800,647,179
298,1363811400,6300,152
299,1363897800,7378,143
300,1363984200,7392,192
301,1364070600,8695,214
302,1364157000,8637,249
303,1364243400,8556,337
304,1364329800,8258,405
305,1364416200,8669,468
306,1364502600,9853,411
307,1364589000,8516,443
308,1364675400,8087,469
309,1364761800,7327,318
310,1364848200,11292,163
311,1364934600,7284,280
312,1365021000,7131,353
313,1365107400,7374,459
314,1365193800,5048,650
315,1365280200,4662,734
316,1365366600,4926,724
317,1365453000,4958,805
318,1365539400,5209,798
319,1365625800,5332,812
320,1365712200,6465,725
321,1365798600,5116,809
322,1365885000,6072,697
323,1365971400,5344,800
324,1366057800,5147,871
325,1366144200,5365,905
326,1366230600,5652,930
327,1366317000,7486,722
328,1366403400,5240,810
329,1366489800,5003,823
330,1366576200,5204,846
331,1366662600,5212,886
332,1366749000,5920,904
333,1366835400,5851,872
334,1366921800,8406,810
335,1367008200,5435,880
336,1367094600,5371,954
337,1367181000,5509,983
338,1367267400,5489,953
339,1367353800,5838,978
340,1367440200,5819,1025
341,1367526600,8379,818
342,1367613000,5540,870
343,1367699400,5148,828
344,1367785800,5313,892
345,1367872200,5262,916
346,1367958600,5786,920
347,1368045000,5777,1001
348,1368131400,7695,836
349,1368217800,5350,921
350,1368304200,5209,912
351,1368390600,5347,991
352,1368477000,5220,1001
353,1368563400,5676,956
354,1368649800,5608,1017
355,1368736200,7629,864
356,1368822600,5506,927
357,1368909000,5293,1046
358,1368995400,5270,968
359,1369081800,5336,1008
360,1369168200,5597,979
361,1369254600,5722,976
362,1369341000,7608,792
363,1369427400,5621,837
364,1369513800,4995,869
365,1369600200,5324,898
366,1369686600,5283,934
367,1369773000,3967,709
368,1373229000,1491,168
369,1373315400,5647,900
370,1373401800,4722,883
371,1373488200,4810,934
372,1373574600,5211,745
373,1373661000,5297,828
374,1373747400,4629,878
375,1373833800,4584,873
376,1373920200,4844,914
377,1374006600,4909,912
