,Datetime,Class A,Class B
223,1635539400,6604,1684
224,1635625800,195,71
225,1637844600,1414,312
226,1637872200,5606,1284
227,1637958600,5579,1578
228,1638045000,5700,1682
229,1638131400,5431,1530
230,1638217800,6223,1676
231,1638304200,8534,1835
232,1638390600,11736,1608
233,1638477000,7866,1101
234,1638564900,8108,1246
235,1638649800,8872,1078
236,1638736200,8587,1216
237,1638822600,8828,1381
238,1638909000,9030,1032
239,1638995400,11188,942
240,1639081800,9228,700
241,1639168200,8697,1038
242,1639254600,7143,1005
243,1639341000,9496,1303
244,1639427400,9026,1020
245,1639513800,11180,599
246,1639600200,12210,838
247,1639686600,8579,809
248,1639773000,8733,931
249,1639859400,8160,762
250,1639945800,8749,874
251,1640032200,8325,588
252,1640118600,9302,723
253,1640205000,12258,702
254,1640291400,9142,606
255,1640377800,9109,836
256,1640464200,9004,936
257,1640550600,8329,970
258,1640637000,9105,970
259,1640723400,8878,1130
260,1640809800,11296,789
261,1640896200,8397,581
262,1640982600,10123,102
263,1641069000,8848,14
264,1641155400,8356,790
265,1641241800,3698,329
266,1641718500,4987,754
267,1641760200,9063,1157
268,1641846600,7858,1411
269,1641933000,8265,1297
270,1642019400,11077,1118
271,1642105800,7075,802
272,1642192200,7713,1361
273,1642278600,9122,1115
274,1642365000,8880,1049
275,1642451400,9635,1034
276,1642537800,8205,953
277,1642624200,10802,864
278,1642710600,7868,477
279,1642797000,7958,816
280,1642883400,8435,1018
281,1642969800,8222,1094
282,1643056200,8908,1033
283,1643142600,9536,1061
284,1643229000,10502,760
285,1643315400,8060,596
286,1643401800,8519,1101
287,1643488200,8437,1119
288,1643574600,8901,1065
289,1643661000,8317,848
290,1643747400,9281,1040
291,1643833800,11752,870
292,1643920200,7410,576
293,1644006600,8375,804
294,1644093000,9586,992
295,1644179400,10862,939
296,1644265800,8746,992
297,1644352200,8128,1147
298,1644438600,7966,1499
299,1644525000,9625,1042
300,1644611400,7111,1228
301,1644697800,7338,1510
302,1644784200,8283,1342
303,1644870600,8962,1328
304,1644957000,7398,1450
305,1645043400,7979,1475
306,1645129800,10678,1092
307,1645216200,8372,1141
308,1645302600,8043,1025
309,1645389000,7616,1269
310,1645475400,8531,1172
311,1645561800,9147,1504
312,1645648200,8670,1293
313,1645734600,10465,807
314,1645821000,8237,1091
315,1645907400,6813,960
316,1645993800,9488,386
317,1646080200,9660,183
318,1646166600,8981,1170
319,1646253000,9016,1303
320,1646339400,10861,657
321,1646425800,8571,1005
322,1646512200,9099,426
323,1646598600,9273,606
324,1646685000,8347,1072
325,1646771400,9101,1361
326,1646857800,8552,1281
327,1646944200,9263,774
328,1647030600,8200,952
329,1647117000,9058,1063
330,1647203400,9289,1115
331,1647289800,10283,1322
332,1647376200,12433,970
333,1647462600,11325,1162
334,1647549000,10441,932
335,1647635400,9015,606
336,1647721800,6178,388
337,1647808200,7988,149
338,1647898500,8921,160
339,1647981000,9938,206
340,1648067400,10502,238
341,1648153800,13792,266
342,1648240200,11396,410
343,1648326600,10823,545
344,1648413000,10476,580
345,1648499400,10292,640
346,1648585800,10250,709
347,1648672200,10533,654
348,1648758600,10025,477
349,1648845000,15777,321
350,1648931400,7768,461
351,1649017800,6645,762
352,1649104200,6767,1038
353,1649190600,7139,1070
354,1649277000,6938,1024
355,1649363400,7806,963
356,1649449800,7077,1164
357,1649536200,6645,1150
358,1649622600,6950,1280
359,1649709000,6973,1190
360,1649795400,7301,1236
361,1649881800,7756,1148
362,1649968200,9093,967
363,1650054600,6891,1016
364,1650141000,6947,1022
365,1650227400,7241,875
366,1650313800,7181,1237
367,1650400200,7454,1343
368,1363811400,9534,171
369,1363897800,8562,198
370,1363984200,7802,163
371,1364070600,7590,224
372,1364157000,7579,440
373,1364243400,7756,634
374,1364329800,7743,556
375,1364416200,8828,584
376,1364502600,7876,419
377,1364589000,6825,511
378,1364675400,7656,380
379,1364761800,8709,197
380,1364848200,8402,134
381,1364934600,5225,567
382,1365021000,6786,678
383,1365107400,5276,717
384,1365193800,4793,1178
385,1365280200,4616,1119
386,1365366600,4902,1128
387,1365453000,4843,1101
388,1365539400,5284,1112
389,1365625800,6576,999
